,country,code,indicator,time,percentage
24,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.7861
25,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
26,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0
27,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.4526
28,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
29,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
30,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
31,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
32,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
33,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
34,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
35,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
36,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
37,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
38,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
39,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
40,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
41,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.8017
42,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0133
43,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.3983
44,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
45,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
46,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
47,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.8376
48,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
49,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
50,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
51,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
52,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
53,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
54,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
55,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
56,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
57,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
58,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
59,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
60,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.259
61,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
62,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
63,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
64,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
65,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
66,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.069
67,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
68,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
69,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
70,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
71,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
72,Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
73,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
74,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
75,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
76,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
77,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
78,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
79,Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
80,Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.2861
81,Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
82,Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
83,Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
84,Haiti,HTI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
85,Honduras,HND,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
86,"Hong Kong SAR, China",HKG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
87,Hungary,HUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
88,Iceland,ISL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
89,India,IND,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
90,Indonesia,IDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.2162
91,"Iran, Islamic Rep.",IRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
92,Iraq,IRQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
93,Ireland,IRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
94,Isle of Man,IMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
95,Israel,ISR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
96,Italy,ITA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
97,Jamaica,JAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
98,Japan,JPN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
99,Jordan,JOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
100,Kazakhstan,KAZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
101,Kenya,KEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.069
102,Kiribati,KIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
103,"Korea, Dem. People’s Rep.",PRK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
104,"Korea, Rep.",KOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
105,Kosovo,XKX,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
106,Kuwait,KWT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
107,Kyrgyz Republic,KGZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
108,Lao PDR,LAO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
109,Latvia,LVA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
110,Lebanon,LBN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
111,Lesotho,LSO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0391
112,Liberia,LBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0792
113,Libya,LBY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
114,Liechtenstein,LIE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
115,Lithuania,LTU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
116,Luxembourg,LUX,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
117,"Macao SAR, China",MAC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
119,Madagascar,MDG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
120,Malawi,MWI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
121,Malaysia,MYS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
122,Maldives,MDV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
123,Mali,MLI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
124,Malta,MLT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.7563
125,Marshall Islands,MHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
126,Mauritania,MRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
127,Mauritius,MUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.2391
128,Mexico,MEX,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
129,"Micronesia, Fed. Sts.",FSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
130,Moldova,MDA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
131,Monaco,MCO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
132,Mongolia,MNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1.5404
133,Montenegro,MNE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
134,Morocco,MAR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
135,Mozambique,MOZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
136,Myanmar,MMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
137,Namibia,NAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
138,Nauru,NRU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
139,Nepal,NPL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
140,Netherlands,NLD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
141,New Caledonia,NCL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0902
142,New Zealand,NZL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1.4166
143,Nicaragua,NIC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.39
144,Niger,NER,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
145,Nigeria,NGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
146,Northern Mariana Islands,MNP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
147,Norway,NOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
148,Oman,OMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
149,Pakistan,PAK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
150,Palau,PLW,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
151,Panama,PAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.5889
152,Papua New Guinea,PNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
153,Paraguay,PRY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.3302
154,Peru,PER,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.9379
155,Philippines,PHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
156,Poland,POL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
157,Portugal,PRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
158,Puerto Rico,PRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
159,Qatar,QAT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
160,Romania,ROU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
161,Russian Federation,RUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,3.9973
162,Rwanda,RWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
163,Samoa,WSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0796
164,San Marino,SMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
165,Sao Tome and Principe,STP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
166,Saudi Arabia,SAU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
167,Senegal,SEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
168,Serbia,SRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
169,Seychelles,SYC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
170,Sierra Leone,SLE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
171,Singapore,SGP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.6638
172,Sint Maarten (Dutch part),SXM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
173,Slovak Republic,SVK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
174,Slovenia,SVN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
175,Solomon Islands,SLB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
176,Somalia,SOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
177,South Africa,ZAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.3747
178,South Sudan,SSD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
179,Spain,ESP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
180,Sri Lanka,LKA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0987
181,St. Kitts and Nevis,KNA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
182,St. Lucia,LCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
183,St. Martin (French part),MAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
184,St. Vincent and the Grenadines,VCT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
185,Sudan,SDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
186,Suriname,SUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
188,Sweden,SWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
189,Switzerland,CHE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
190,Syrian Arab Republic,SYR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
191,Tajikistan,TJK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
192,Tanzania,TZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.015
193,Thailand,THA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
194,Timor-Leste,TLS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
195,Togo,TGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
196,Tonga,TON,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0
197,Trinidad and Tobago,TTO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
198,Tunisia,TUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
199,Turkey,TUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
200,Turkmenistan,TKM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
201,Turks and Caicos Islands,TCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
202,Tuvalu,TUV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
203,Uganda,UGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.045
204,Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
205,United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
206,United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
207,United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
208,Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
209,Uzbekistan,UZB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
210,Vanuatu,VUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
211,"Venezuela, RB",VEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
212,Vietnam,VNM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
213,Virgin Islands (U.S.),VIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
214,West Bank and Gaza,PSE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
215,"Yemen, Rep.",YEM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
216,Zambia,ZMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0343
217,Zimbabwe,ZWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
218,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.082
219,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.1641
220,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
221,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0
222,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
223,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
224,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
225,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.3264
226,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
227,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
228,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.496
229,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.797
230,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
231,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
232,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.1312
233,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
234,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.3178
235,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,3.139
236,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.2908
237,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0905
238,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0104
239,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
240,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
241,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.7232
242,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
243,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0
244,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.5839
245,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
246,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
247,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.1667
248,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0032
249,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0132
250,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
251,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.1293
252,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0402
253,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
254,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
255,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0084
256,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0
257,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
258,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.0167
259,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
260,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.4511
261,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
262,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0601
263,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.1309
264,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.9276
265,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0822
266,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
267,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.297
268,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
269,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.1124
270,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.8042
271,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.5318
272,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
273,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
274,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.5089
275,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.6193
276,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.6607
277,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.3434
278,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
279,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
280,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
281,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0155
282,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
283,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.1031
284,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.2959
285,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.5298
286,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
287,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0286
288,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
289,Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
290,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
291,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0605
292,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
293,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.9713
294,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
295,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
296,Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,3.1717
297,Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.3062
298,Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.0467
299,Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
300,Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.1558
301,Haiti,HTI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
302,Honduras,HND,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
303,"Hong Kong SAR, China",HKG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.6308
304,Hungary,HUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.7768
305,Iceland,ISL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.8278
306,India,IND,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.4355
307,Indonesia,IDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
308,"Iran, Islamic Rep.",IRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.2551
309,Iraq,IRQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.4137
310,Ireland,IRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0.9526
311,Isle of Man,IMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
312,Israel,ISR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.808
313,Italy,ITA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1.2709
